Problem Number;Problem Latest Impact;Change Date;Problem Status;Problem Sub Status;Org Line;ST Function Division;Owner ST;Support Line Number;Product;Country;Action Owner Country;Action Owner First Name
1-147898401;Medium;2006-11-07 10:00:36;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-147898401;Medium;2006-11-07 13:05:44;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-147898401;Medium;2009-12-02 14:24:32;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-147898401;Medium;2011-09-03 06:09:09;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-165554831;Medium;2007-03-20 09:06:25;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-165554831;Medium;2009-12-02 14:24:31;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-165554831;Medium;2011-09-03 06:10:53;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-172473423;Low;2007-05-10 15:21:54;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-172473423;Low;2009-12-02 14:24:33;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-172473423;Low;2011-09-03 06:10:59;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-182640781;Medium;2007-07-25 13:21:05;Accepted;In Progress; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2009-12-02 14:24:32;Accepted;Wait; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2010-08-25 10:13:01;Queued;Awaiting Assignment; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2011-09-05 08:24:13;Accepted;In Progress; A2;A2_2;M1;2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2011-11-14 16:10:25;Accepted;Assigned; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2012-01-03 11:30:35;Accepted;In Progress; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2012-01-03 11:31:53;Completed;Closed; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-230541365;High;2008-05-07 17:58:51;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2008-10-06 15:44:37;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2009-12-02 14:24:34;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2011-09-01 23:27:50;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-230541365;High;2011-09-01 23:27:55;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-236817141;Medium;2008-06-04 11:02:18;Accepted;In Progress; A2;A2_2;G167;2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2009-12-02 14:24:34;Accepted;Wait; A2;A2_2;G167;2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2010-08-25 10:06:45;Queued;Awaiting Assignment; A2;A2_2;G167;2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2011-09-03 07:02:11;Accepted;In Progress; A2;A2_2;M1;2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2011-11-14 16:09:27;Accepted;Assigned; A2;A2_2;G167;2nd;PROD681;cn;Sweden;Niklas
1-236817141;Medium;2012-01-05 14:08:18;Accepted;In Progress; A2;A2_2;M1;2nd;PROD681;cn;Sweden;Tomas
1-236817141;Medium;2012-01-05 14:09:00;Completed;Closed; A2;A2_2;M1;2nd;PROD681;cn;Sweden;Tomas
1-270427461;Low;2008-11-13 11:01:04;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-270427461;Low;2009-12-02 14:24:35;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-270427461;Low;2011-11-14 15:57:27;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-01-14 10:34:54;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-01-27 10:43:29;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-02-03 10:20:05;Accepted;Assigned; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2010-02-22 08:33:08;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-345132462;Medium;2011-09-01 23:17:47;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-351314317;Medium;2010-02-03 09:34:32;Accepted;In Progress; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2010-02-03 09:45:18;Queued;Awaiting Assignment; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2010-02-03 10:40:51;Accepted;In Progress; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2010-02-03 10:40:58;Accepted;Assigned; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2011-12-20 22:25:19;Accepted;In Progress; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-351314317;Medium;2012-01-03 13:13:02;Completed;Closed; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-354039443;Medium;2011-12-28 15:05:47;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-354039443;Medium;2012-01-30 12:29:51;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-354350908;Medium;2010-02-16 11:03:41;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-354350908;Medium;2011-09-01 23:16:31;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-354376900;Medium;2010-02-16 11:04:37;Accepted;Wait; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-354376900;Medium;2011-09-01 23:16:15;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-357087417;Medium;2011-12-28 16:01:17;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-357087417;Medium;2012-01-30 12:30:21;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-359841262;High;2010-03-11 14:06:34;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11 14:10:10;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11 14:12:19;Queued;Awaiting Assignment; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11 14:12:35;Accepted;In Progress; A2;A2_2;G4;2nd;PROD753;cn;POLAND;Pawel
1-359841262;High;2010-03-11 14:12:46;Queued;Awaiting Assignment; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2010-03-11 14:13:02;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;POLAND;Pawel
1-359841262;High;2010-07-20 08:25:18;Accepted;Assigned; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-359841262;High;2011-09-05 08:28:42;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-360072755;Medium;2010-08-25 10:04:56;Queued;Awaiting Assignment; A2;A2_2;G167;2nd;PROD681;se;Sweden;Tomas
1-360072755;Medium;2011-09-03 06:49:00;Accepted;In Progress; A2;A2_2;M1;2nd;PROD681;se;Sweden;Tomas
1-360072755;Medium;2011-11-14 16:10:03;Accepted;Assigned; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-360072755;Medium;2012-01-12 09:23:04;Accepted;Wait; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-360464815;Medium;2010-03-15 14:40:16;Accepted;In Progress; A2;D_1;L50;3rd;PROD611;in;Sweden;Panigrahy
1-360464815;Medium;2010-04-15 15:32:45;Accepted;Wait; A2;D_1;L50;3rd;PROD611;in;Sweden;Panigrahy
1-360464815;Medium;2011-06-09 10:37:15;Accepted;In Progress; A2;D_1;L50;3rd;PROD611;in;Sweden;Panigrahy
1-360464815;Medium;2012-02-21 14:57:48;Completed;Closed; A2;D_1;L50;3rd;PROD611;in;Sweden;Panigrahy
1-363206822;Low;2010-03-26 14:03:21;Accepted;In Progress; A2;A2_2;G4;2nd;PROD753;cn;POLAND;Pawel
1-363206822;Low;2010-03-26 14:05:35;Accepted;In Progress; A2;A2_2;G4;2nd;PROD753;cn;POLAND;Pawel
1-363206822;Low;2010-03-26 14:05:48;Queued;Awaiting Assignment; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-363206822;Low;2011-09-05 08:28:50;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-363549934;Medium;2012-01-19 10:09:44;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-363549934;Medium;2012-01-19 10:10:41;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-364528467;Medium;2012-01-19 10:14:11;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-364528467;Medium;2012-01-19 10:14:18;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-366584206;Medium;2012-01-09 11:25:49;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
