Problem Number;Change Date;Problem Status;Problem Sub Status;ST Function Division;Org Line;Owner ST;Support Line Number;Problem Latest Impact;Product;Country;Action Owner Country;Action Owner First Name
1-147898401;2006-11-07 10:00;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-147898401;2006-11-07 13:05;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-147898401;2009-12-02 14:24;Accepted;Wait;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-147898401;2011-09-03 06:09;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-165554831;2007-03-20 09:06;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-165554831;2009-12-02 14:24;Accepted;Wait;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-165554831;2011-09-03 06:10;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-172473423;2007-05-10 15:21;Accepted;In Progress;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-172473423;2009-12-02 14:24;Accepted;Wait;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-172473423;2011-09-03 06:10;Accepted;In Progress;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-182640781;2007-07-25 13:21;Accepted;In Progress;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-182640781;2009-12-02 14:24;Accepted;Wait;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-182640781;2010-08-25 10:13;Queued;Awaiting Assignment;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-182640781;2011-09-05 08:24;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD681;se;Sweden;Niklas
1-182640781;2011-11-14 16:10;Accepted;Assigned;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-182640781;2012-01-03 11:30;Accepted;In Progress;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-182640781;2012-01-03 11:31;Completed;Closed;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-230541365;2008-05-07 17:58;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-230541365;2008-10-06 15:44;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-230541365;2009-12-02 14:24;Accepted;Wait;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-230541365;2011-09-01 23:27;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-230541365;2011-09-01 23:27;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-236817141;2008-06-04 11:02;Accepted;In Progress;A2_2; A2;G167;2nd;Medium;PROD681;cn;Sweden;Tomas
