ST Function Division;Org Line;Involved ST;Support Line Number;Product;Owner First Name
A2_1;B;D1;1st;PROD305;-
A2_1;B;D1;1st;PROD542;Abby
A2_1;B;D1;1st;PROD790;Abby
A2_1;B;D1;1st;PROD50;Abby
A2_1;B;D1;1st;PROD350;Abby
A2_1;A2;T17;2nd;PROD350;Abby
A2_1;A2;G26;2nd;PROD180;Abhinav
A2_1;B;D1;1st;PROD305;Abhiseka
A2_1;A2;D8;1st;PROD542;Adam
A2_1;A2;D4;1st;PROD328;Adam
A2_1;A2;D8;1st;PROD235;Adam
A2_1;A2;G336;3rd;PROD38;Akanksha
A2_1;A2;N19;2nd;PROD790;Akanksha
A2_1;A2;W15;2nd;PROD757;Akshata
A2_1;A2;N25;2nd;PROD173;Alan
A2_1;A2;N17;2nd;PROD173;Alan
A2_1;A2;L6;2nd;PROD509;Alex
A2_1;A2;S1;2nd;PROD140;Alex
A2_1;C;D5;1st;PROD799;Alexander
A2_1;A2;D8;1st;PROD423;Alexander
A2_1;C;D6;1st;PROD308;Alexandre
A2_1;C;D6;1st;PROD542;Alexandre
A2_1;C;D6;1st;PROD158;Alexandre
A2_1;A2;D4;1st;PROD158;Alexandre
A2_1;C;D6;1st;PROD235;Alexandre
A2_1;B;D3;1st;PROD38;Alexandre
A2_1;C;D6;1st;PROD747;Alexandre
A2_1;A2;N7;2nd;PROD747;Alexandre
A2_1;C;D6;1st;PROD180;Alexandre
A2_1;A2;G26;2nd;PROD180;Alexandre
A2_1;C;D6;1st;PROD236;Alexandre
A2_1;A2;D4;1st;PROD236;Alexandre
A2_1;C;D6;1st;PROD775;Alexandre
A2_1;A2;W15;2nd;PROD775;Alexandre
A2_1;C;D6;1st;PROD790;Alexandre
A2_1;A2;N19;2nd;PROD790;Alexandre
A2_1;B;D3;1st;PROD560;Alexandre
A2_1;B;D3;1st;PROD53;Alexandre
A2_1;B;D3;1st;PROD126;Alexandre
A2_1;C;D6;1st;PROD327;Alexandre
A2_1;A2;D4;1st;PROD327;Alexandre
A2_1;C;D6;1st;PROD328;Alexandre
A2_1;C;D6;1st;PROD107;Alexandre
A2_1;B;D3;1st;PROD787;Alexandre
A2_1;C;D6;1st;PROD329;Alexandre
A2_1;C;D6;1st;PROD318;Alexandre
A2_1;A2;M22;2nd;PROD318;Alexandre
A2_1;A2;D8;1st;PROD424;Alexey
A2_1;A2;L64;3rd;PROD612;Alok
A2_1;A2;D4;1st;PROD542;Amanda
A2_1;A2;D4;1st;PROD789;Amanda
A2_1;C;D5;1st;PROD494;Amit
A2_1;B;D1;1st;PROD50;Amy
A2_1;A2;N15;2nd;PROD779;Anders
A2_1;A2;N15;2nd;PROD198;Anders
A2_1;A2;L19;2nd;PROD639;Anders
A2_1;B;D3;1st;PROD126;Anderson
A2_1;B;D3;1st;PROD81;Anderson
A2_1;B;D3;1st;PROD235;Anderson
A2_1;B;D3;1st;PROD96;Anderson
A2_1;B;D3;1st;PROD799;Anderson
A2_1;B;D3;1st;PROD53;Anderson
A2_1;B;D3;1st;PROD38;Anderson
A2_1;B;D3;1st;PROD802;Anderson
A2_1;B;D3;1st;PROD328;Anderson
A2_1;B;D3;1st;PROD776;Anderson
A2_1;A2;N14;2nd;PROD776;Anderson
A2_1;A2;D4;1st;PROD235;Andre
A2_1;A2;D8;1st;PROD235;Andre
