Owner First Name;Involved ST;Support Line Number
Aaron;N34;1st
Aaron;G84;2nd
Aaron;N15;2nd
Aaron;G97;1st
Aaron;N42;1st
Aaron;S56;1st
Aaron;G255;2nd
Abby;D1;1st
Abby;V32;2nd
Abby;V37;2nd
Abby;G179;1st
Abby;G12;2nd
Abby;T17;2nd
Abdelkader;G97;1st
Abdul;G230;2nd
Abdul;G97;1st
Abdul;G238;2nd
Abdul;G285;2nd
Abhijit;G93;2nd
Abhimanyu;G271;2nd
Abhinav;G105;2nd
Abhinav;G271;2nd
Abhinav;G92;1st
Abhinav;G26;2nd
Abhiseka;D1;1st
Abhiseka;B10;2nd
Abhiseka;C6;2nd
Abhishek;M7;2nd
Abhishek;G271;2nd
Abhishek;G276;2nd
Abhishek;G130;3rd
Achuthanandan;G359;1st
Achuthanandan;G97;1st
Achuthanandan;G113;2nd
Adam;S42;1st
Adam;N52;2nd
Adam;D8;1st
Adam;V37;2nd
Adam;V32;2nd
Adam;T19;1st
Adam;G45;2nd
Adam;M8;1st
Adam;G370;1st
Adam;L53;2nd
Adam;W12;2nd
Adam;L38;3rd
Adam;A9;1st
Adam;D4;1st
Adam;J5;1st
Adam;A6;1st
Adam;N40;1st
Adeline;L62;3rd
Adeline;V30;1st
Adeline;V13;2nd 3rd
Adeline;V4;3rd
Ademilson;S8;1st
Adenilson;S16;1st
Adenilson;G97;1st
Adenilson;S4;2nd
Aditi;G271;2nd
Aditi;G266;2nd
Aditi;G50;2nd
Aditi;G111;2nd
Adriano;G93;2nd
Adriano;S6;1st
Adrien;L58;3rd
Agata;G96;1st
Agata;G108;2nd
Agata;V3;1st
Agata;G10;2nd
Agata;G92;1st
Agata;G22;2nd
Agata;G97;1st
Agata;G179;1st
Agata;V26;1st
Agata;G230;2nd
Agata;V27;1st
Agata;U6;1st
Agata;T17;1st
Agneta;U6;2nd
Agneta;G359;1st
Agnieszka;G96;1st
Agnieszka;G97;1st
Agnieszka;W10;1st
Agnieszka;G359;1st
Agnieszka;M8;1st
Agnieszka;M12;1st
Agnieszka;G22;2nd
Agnieszka;G84;2nd
Agnieszka;G230;2nd
Agnieszka;S56;1st
Agnieszka;G331;3rd
Agnieszka;G179;1st
Agnieszka;N40;1st
Agnivesh;G271;2nd
Agnivesh;G220;2nd
Agnivesh;G266;2nd
Agoritsa;G348;2nd
Agron;G140;2nd
Agron;S43;1st
Ahamed;G271;2nd
Ajay;G8;2nd
Ajay;G7;3rd
Ajitkumar;G32;2nd
Akanksha;G40;1st
Akanksha;G192;1st
Akanksha;G107;3rd
Akanksha;G97;1st
Akanksha;G179;1st
Akanksha;G194;3rd
Akanksha;G336;3rd
Akanksha;G38;2nd
Akanksha;G195;1st
Akanksha;N19;2nd
Akiko;S35;2nd
Akim;V26;1st
Akshata;G8;2nd
Akshata;W15;2nd
Ala;N27;3rd
Alain;G72;2nd
Alan;B12;1st
Alan;N16;2nd
Alan;N25;2nd
Alan;N17;2nd
Alejandro;G96;1st
Alejandro;G230;2nd
Alejandro;G97;1st
Alejandro;S9;2nd
Alejandro;G92;1st
Alejandro;S16;1st
Alejandro;S2;2nd
Alejandro;S24;1st
Alejandro;S49;1st
Aleksander;V17;3rd
Aleksandra;G97;1st
Aleksandra;J5;1st
Aleksandra;G96;1st
Aleksandra;G230;2nd
Aleksandra;M16;3rd
Aleksandra;G192;1st
Aleksandra;G40;1st
Aleksandra;S56;1st
Aleksandra;G179;1st
Aleksandra;K1;3rd
Aleksandra;V26;1st
Aleksandra;G238;2nd
Aleksandra;G92;1st
Aleksandra;G193;2nd
Aleksandra;G207;2nd
Aleksandra;N42;1st
Aleksandra;G22;2nd
Aleksandra;G359;1st
Alessandra;S56;1st
Alessandro;S8;1st
Alex;G97;1st
Alex;G40;1st
Alex;G230;2nd
Alex;S6;1st
Alex;N8;2nd
Alex;L6;2nd
Alex;M15;2nd
Alex;G165;2nd
Alex;G84;2nd
Alex;S8;1st
Alex;N41;1st
Alex;M26;1st
Alex;G108;2nd
Alex;G311;1st
Alex;S9;2nd
Alex;L38;3rd
Alex;N40;1st
Alex;B12;1st
Alex;G49;1st
Alex;G179;1st
Alex;S1;2nd
Alex;S56;1st
Alex;G162;2nd
Alex;G92;1st
Alex;G93;2nd
Alex;G22;2nd
Alex;N32;1st
Alex;G238;2nd
Alex;N42;1st
Alex;G96;1st
Alex;S49;1st
Alex;T6;1st
Alex;S2;2nd
Alex;S4;2nd
Alex;S14;1st
Alex;N52;2nd
Alex;S19;2nd
Alex;G271;2nd
Alex;S16;1st
Alexander;G57;2nd
Alexander;D5;1st
Alexander;S24;1st
Alexander;G253;2nd
Alexander;G162;2nd
Alexander;G97;1st
Alexander;S56;1st
Alexander;G146;2nd
Alexander;S42;1st
Alexander;N6;1st
Alexander;S41;1st
Alexander;D8;1st
Alexander;S44;1st
Alexander;G140;2nd
Alexandra;V53;2nd
Alexandra;L18;2nd
Alexandra;T15;2nd
Alexandre;D6;1st
Alexandre;V46;2nd
Alexandre;D4;1st
Alexandre;C9;1st
Alexandre;N15;2nd
Alexandre;S9;2nd
Alexandre;D3;1st
Alexandre;S13;2nd
Alexandre;G230;2nd
Alexandre;N7;2nd
Alexandre;G26;2nd
Alexandre;W15;2nd
Alexandre;N19;2nd
Alexandre;G327;2nd
Alexandre;S2;2nd
Alexandre;M22;2nd
Alexey;D8;1st
Alexsandra;S42;1st
Alexsandra;S43;1st
Alexsandra;G135;2nd
Alexsandra;G146;2nd
Alexsandra;G140;2nd
Alf;M13;2nd
Aline;G51;2nd
Aline;G15;2nd
Aline;G55;2nd
Aline;G52;3rd
Aline;N8;2nd
Aline;M9;1st
Aline;L40;3rd
Aline;M1;2nd
Aline;G166;2nd
Aline;L60;2nd
Aline;V20;2nd
Aline;G110;2nd
Allak;V26;1st
Allak;V51;2nd
Allan;G213;2nd
Allana;S8;1st
Alok;L64;3rd
Alvin;G197;2nd
Alvin;V16;3rd
Alvin;V10;3rd
Alvin;V11;3rd
Amanda;N18;2nd
Amanda;D4;1st
Amanda;B16;2nd
Amanda;N26;2nd
Amanda;G51;2nd
Amandine;V36;3rd
Amar;G271;2nd
Amar;G181;2nd
Amar;G48;2nd
Amar;G220;2nd
Amar;G266;2nd
Amar;G209;2nd
Amar;G130;3rd
Amar;W8;2nd
Amer;S43;1st
Amir;G135;2nd
Amir;G138;2nd
